CCG of Residence,Cumulative Total Doses to Date6,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
"NHS Bedfordshire, Luton and Milton Keynes CCG","1,002,314",55.30%,67.90%,74.80%,87.60%,88.10%,93.80%,98.00%,99.60%,96.10%,100%*,100%*,92.10%
NHS Cambridgeshire and Peterborough CCG,"1,014,472",63.50%,81.90%,85.70%,92.70%,89.50%,93.80%,99.30%,100%*,95.90%,98.40%,100%*,95.70%
NHS East and North Hertfordshire CCG,"622,099",50.60%,70.60%,76.10%,87.90%,87.50%,91.40%,99.00%,100%*,97.40%,97.90%,100%*,93.00%
NHS Herts Valleys CCG,"680,678",61.30%,75.20%,79.30%,90.50%,92.50%,95.20%,100%*,100%*,96.60%,97.80%,100%*,93.10%
NHS West Essex CCG,"343,626",46.40%,68.80%,76.60%,88.40%,84.20%,91.90%,98.10%,100%*,99.10%,99.20%,100%*,93.00%
NHS Basildon and Brentwood CCG,"291,575",55.60%,71.50%,80.70%,86.20%,85.90%,91.70%,98.00%,100%*,95.30%,96.40%,100%*,91.30%
NHS Castle Point and Rochford CCG,"219,388",56.20%,76.70%,85.40%,89.60%,84.50%,93.10%,98.50%,98.10%,90.00%,94.50%,100%*,97.30%
NHS Mid Essex CCG,"462,902",57.20%,75.40%,82.00%,89.00%,86.40%,94.00%,99.20%,98.80%,95.40%,97.00%,100%*,96.90%
NHS Southend CCG,"200,584",51.90%,64.70%,72.90%,81.90%,81.00%,88.10%,95.10%,98.90%,91.40%,92.60%,100%*,89.30%
NHS Thurrock CCG,"163,490",43.50%,55.30%,66.50%,74.60%,80.20%,86.60%,97.20%,98.30%,89.50%,97.40%,98.40%,95.70%
NHS Norfolk and Waveney CCG,"1,276,250",59.00%,77.60%,83.20%,92.20%,87.60%,93.70%,99.40%,100%*,94.60%,96.90%,100%*,95.30%
NHS Ipswich and East Suffolk CCG,"508,456",65.30%,77.30%,81.50%,91.50%,85.70%,91.90%,98.90%,99.10%,93.70%,98.80%,100%*,95.40%
NHS North East Essex CCG,"400,282",46.80%,74.20%,82.40%,91.70%,88.80%,93.80%,99.50%,100%*,93.60%,97.00%,100%*,98.10%
NHS West Suffolk CCG,"266,681",45.60%,64.50%,72.80%,91.30%,87.20%,92.30%,98.20%,98.80%,92.70%,96.20%,100%*,93.60%
NHS North East London CCG,"1,688,400",44.20%,59.00%,66.40%,80.00%,81.60%,86.80%,90.60%,93.20%,89.80%,91.30%,88.60%,81.00%
NHS North Central London CCG,"1,355,921",45.20%,61.00%,65.70%,76.80%,78.90%,83.00%,89.90%,92.80%,88.70%,89.00%,89.10%,82.90%
NHS North West London CCG,"2,034,806",59.30%,68.60%,72.40%,81.40%,84.50%,88.90%,91.90%,91.50%,88.20%,89.20%,89.80%,82.80%
